source Magento Categories,Shopify Product Types,target Magento Categories
Replacement Glass,Replacement Glass,Replacement Glass
Chargers,Chargers,Chargers
Batteries,Batteries,Batteries
Accessories,Accessories,Vaping Accessories
Alternatives,Alternatives,Alternatives
Rebuildables,Rebuildables,Rebuildables
Pod System Kits,Pod Systems,Vape Kits
Mods,Mods,Mods
Starter Kits & Mods,Starter Kits,Starter Kits
Pod Mod Systems,Pod Systems,Vape Kits
Box Mod Kits,Starter Kits,Starter Kits
Tanks,Atomizers,Tanks
Nicotine Pouches,Nicotine Pouches,Nicotine Pouches
Nicotine Gum,Nicotine Pouches,Nicotine Gum
Replacement Coils,Coils,Replacement Coils
Replacement Pod Cartridges,Replacement Pods,Replacement Pods
Nic Pouches,Nicotine Pouches,Nicotine Pouches
Disposables,Disposables,Disposables
E-Liquids,E-Liquid,E-Liquids
Salt Nicotine,E-Liquid,Nic Salts
100ml Juices,E-Liquid,100mL E-Juice
Synthetic Nicotine,E-Liquid,Synthetic Nicotine
Herb Grinders,Alternatives,Herb Grinders
Smoke Shop Supplies,Alternatives,Smoke Shop Supplies
Glass,Alternatives,Glass Pieces
Alt Vape Accessories,Alternatives,Alt Vaporizers & Accessories
Cotton,Accessories,Cotton
Drip Tips,Accessories,Drip Tips
